Well Log Id,Well Comp Dt,Year,Well Depth Qt,Well Diameter Qt,Well Depth,elevation,elevation (ft),St Plane Xcoord Nr,St Plane Ycoord Nr,latitude,longitude
68480,8/9/1989,1989,215,6,-41.11548,53,173.88452,1135694,875910,47.71708701,-122.5503143
68481,10/24/1990,1990,74,6,40.8294,35,114.8294,1131068,852330,47.65214229,-122.5665886
68482,5/14/1990,1990,59,6,95.19948,47,154.19948,1129790,853680,47.65574971,-122.5719154
68483,7/14/1988,1988,111,6,89.13124,61,200.13124,1135194,858855,47.67031743,-122.5505438
68485,7/12/1989,1989,244,6,38.15224,86,282.15224,1135477,842320,47.62502744,-122.5476539
68486,1/6/1989,1989,133,6,93.37796,69,226.37796,1139266,863979,47.68464733,-122.5345605
68492,6/20/1975,1975,62,6,49.54856,34,111.54856,1134374,875960,47.71712986,-122.5556793
68496,8/6/1980,1980,40,6,61.70604,31,101.70604,1132697,861549,47.6775212,-122.5609594
68499,8/11/1990,1990,48,6,27.45932,23,75.45932,1140404,856044,47.66298391,-122.529114
68503,3/12/1991,1991,120,6,1.39108,37,121.39108,1135744,877212,47.72065826,-122.5502487
68505,11/15/1989,1989,142,6,-23.88976,36,118.11024,1143824,837884,47.61346037,-122.5133605
68509,6/14/1983,1983,105,6,68.88452,53,173.88452,1135694,875910,47.71708701,-122.5503143
68517,4/9/1981,1981,67,6,162.6588,70,229.6588,1136589,862753,47.68109807,-122.5452946
68519,3/11/1980,1980,40,6,97.79528,42,137.79528,1134028,865422,47.68822919,-122.5559687
68520,11/24/1986,1986,53,6,61.8294,35,114.8294,1127169,853731,47.65570028,-122.5825508
68522,2/8/1982,1982,116,6,-116,0,0,1134425,877260,47.72069569,-122.5556099
68529,7/27/1989,1989,183,6,-15.67716,51,167.32284,1132749,866768,47.69182599,-122.5613019
68535,9/29/1994,1994,338,6,-144.43044,59,193.56956,1142748,844065,47.63032293,-122.5183622
68536,6/28/1988,1988,73,6,41.8294,35,114.8294,1127169,853731,47.65570028,-122.5825508
68537,6/17/1983,1983,78,6,194.30972,83,272.30972,1146393,836871,47.61086368,-122.5028451
68545,1/22/1990,1990,179,6,109.71392,88,288.71392,1134274,873359,47.70999556,-122.5558101
68551,6/5/1989,1989,126,6,-57.10236,21,68.89764,1137013,875860,47.71704385,-122.5449533
68554,3/11/1986,1986,53,6,370.22836,129,423.22836,1130265,844405,47.63036813,-122.5690019
68555,7/8/1988,1988,120,6,34.19948,47,154.19948,1145333,869747,47.7008793,-122.5105373
68560,3/7/1984,1984,91,6,112.41208,62,203.41208,1142860,848022,47.64117415,-122.5183187
68572,8/29/1980,1980,55,6,59.8294,35,114.8294,1132355,850981,47.64853801,-122.5612263
68573,1/10/1992,1992,172,6,1.88452,53,173.88452,1135694,875910,47.71708701,-122.5503143
68580,9/2/1977,1977,165,6,-165,0,0,1139505,871860,47.70625977,-122.5344157
68581,3/7/1990,1990,100,6,44.35696,44,144.35696,1131101,853654,47.65577273,-122.5665955
68583,3/6/1991,1991,481,6,-379.29396,31,101.70604,1139354,867909,47.69542258,-122.5346148
68584,10/22/1990,1990,54,6,100.19948,47,154.19948,1129790,853680,47.65574971,-122.5719154
68587,5/18/1987,1987,128,6,9.79528,42,137.79528,1129938,858965,47.6702424,-122.5718783
68593,10/12/1987,1987,220,6,16.22048,72,236.22048,1144442,858541,47.67010991,-122.5129929
68606,1/26/1981,1981,105,16,52.48032,48,157.48032,1135307,864084,47.68465406,-122.550637
68608,4/24/1991,1991,55,6,325.57744,116,380.57744,1131106,843067,47.62676207,-122.5654506
68619,5/30/1989,1989,80,6,44.67192,38,124.67192,1131981,866969,47.69232172,-122.5644402
68620,12/1/1987,1987,75,6,79.19948,47,154.19948,1131132,854977,47.65940028,-122.5666104
68638,9/17/1991,1991,86,6,-82.71916,1,3.28084,1128861,831151,47.59394735,-122.5732809
68641,12/11/1987,1987,173,6,-15.51968,48,157.48032,1132798,869426,47.6991129,-122.561385
68648,7/30/1978,1978,160,6,-38.60892,37,121.39108,1142527,838843,47.61599749,-122.5187162
68649,7/5/1981,1981,89,6,-29.94488,18,59.05512,1138776,842882,47.62680146,-122.5343404
68657,10/17/1986,1986,148,6,12.76116,49,160.76116,1132718,865452,47.68821769,-122.5612881
68658,8/20/1977,1977,300,6,-149.08136,46,150.91864,1138030,867946,47.69543024,-122.5399926
