Number of Records,St Plane Xcoord Nr,St Plane Ycoord Nr,Src Lat,Src Lon,Well Comp Dt,Well Depth Qt,Well Diameter Qt,Well Log Id,Well Type Cd,latitude,elevation,longitude,elevation (ft),Well Depth
1,1127262,857689,47.666552747,-122.58259759399999,2/24/1984,202.0,6.0,63095,W,47.666552747,51,-122.58259759399999,167.32283999999999,-34.677160000000015
1,1135001,850934,47.648598246999995,-122.550491223,4/26/1989,209.0,6.0,63099,W,47.648598246999995,99,-122.550491223,324.80316,115.80315999999999
1,1138045,832300,47.59775173,-122.536195961,3/21/1990,59.0,6.0,63102,W,47.59775173,20,-122.536195961,65.6168,6.616799999999998
1,1145981,869077,47.699088588,-122.507837653,2/17/1984,46.0,6.0,63130,W,47.699088588,18,-122.507837653,59.05512,13.055120000000002
1,1131106,843067,47.626762065,-122.56545062,6/16/1986,425.0,6.0,63136,W,47.626762065,116,-122.56545062,380.57744,-44.422559999999976
1,1143799,835923,47.608084821000006,-122.513258956,11/9/1979,153.0,6.0,63140,W,47.608084821000006,39,-122.513258956,127.95276,-25.047240000000002
1,1141278,837490,47.612202102,-122.52363741299999,6/13/1980,181.0,6.0,63161,W,47.612202102,100,-122.52363741299999,328.084,147.084
1,1127075,851104,47.648494916000004,-122.582650695,10/24/1987,108.0,6.0,63183,W,47.648494916000004,46,-122.582650695,150.91864,42.91864000000001
1,1125869,855073,47.65928344,-122.587967362,4/6/1979,78.0,6.0,63187,W,47.65928344,22,-122.587967362,72.17848,-5.821520000000007
1,1141278,837490,47.612202102,-122.52363741299999,5/23/1984,180.0,6.0,63198,W,47.612202102,100,-122.52363741299999,328.084,148.084
1,1142789,845383,47.633937524,-122.51833276200001,5/22/1979,77.0,6.0,63236,W,47.633937524,55,-122.51833276200001,180.4462,103.4462
1,1129402,841775,47.623099136,-122.57222020100001,12/24/1992,157.0,6.0,63247,W,47.623099136,125,-122.57222020100001,410.105,253.10500000000002
1,1132355,850981,47.648538011999996,-122.561226257,5/18/1990,38.0,6.0,63252,W,47.648538011999996,35,-122.561226257,114.82939999999999,76.82939999999999
1,1132821,870755,47.702756233,-122.561432699,9/8/1980,65.0,6.0,63293,W,47.702756233,56,-122.561432699,183.72704,118.72703999999999
1,1137526,845573,47.634087103999995,-122.539689472,1/21/1980,97.0,6.0,63297,W,47.634087103999995,56,-122.539689472,183.72704,86.72703999999999
1,1137555,846897,47.637717292,-122.539710738,12/1/1978,74.0,6.0,63330,W,47.637717292,67,-122.539710738,219.81628,145.81628
1,1141323,838801,47.615797833,-122.523591381,1/18/1990,62.0,6.0,63357,W,47.615797833,43,-122.523591381,141.07612,79.07612
1,1133511,843020,47.626805477,-122.55569688,9/26/1994,93.0,6.0,63391,W,47.626805477,94,-122.55569688,308.39896,215.39896
1,1133511,843020,47.626805477,-122.55569688,2/4/1994,96.0,6.0,63392,W,47.626805477,94,-122.55569688,308.39896,212.39896
1,1140727,869187,47.699021501000004,-122.529175576,5/13/1988,536.0,6.0,63420,W,47.699021501000004,0,-122.529175576,0.0,-536.0
1,1137616,849549,47.644988821000005,-122.539741533,6/21/1979,100.0,6.0,63424,W,47.644988821000005,69,-122.539741533,226.37796,126.37796
1,1129999,860283,47.673858378,-122.571771269,5/23/1990,111.0,6.0,63425,W,47.673858378,37,-122.571771269,121.39108,10.391080000000002
1,1135440,869343,47.699074214,-122.55065224799999,3/11/1992,99.0,6.0,63449,W,47.699074214,66,-122.55065224799999,216.53544,117.53544
1,1135446,833706,47.601420252,-122.546873275,6/24/1991,22.0,36.0,63466,W,47.601420252,4,-122.546873275,13.12336,-8.87664
1,1132697,861549,47.677521197,-122.560959395,8/8/1985,92.0,6.0,63468,W,47.677521197,31,-122.560959395,101.70604,9.706040000000002
1,1143293,866485,47.691797898000004,-122.51847921299999,4/13/1981,50.0,6.0,63542,W,47.691797898000004,49,-122.51847921299999,160.76116,110.76115999999999
