well_log_id,well_depth_qt,well_diameter_qt,well_comp_dt,well_type_cd,ST_PLANE_XCOORD_NR,ST_PLANE_YCOORD_NR,srcLat,srcLon
70758,137,6,3/5/1990,W,1125803,901338,47.78604996,-122.593216
70759,178,6,4/14/1976,W,1129604,895831,47.77123597,-122.5771727
70760,355,6,6/19/1979,W,1117836,898857,47.7786681,-122.6253348
70762,92,6,1/3/1991,W,1126699,817860,47.55736961,-122.5806186
70766,119,6,9/21/1987,W,1116606,901557,47.78597513,-122.6306313
70768,483,6,9/27/1985,W,1121145,922543,47.84381041,-122.6144653
70769,36,6,6/15/1977,W,1135645,874608,47.71351583,-122.5503758
70770,112,6,7/5/1984,W,1095266,819000,47.55815133,-122.7079907
70775,73,6,7/31/1985,W,1094263,859903,47.67015451,-122.7167055
70776,161,6,8/22/1992,W,1154789,891158,47.76020416,-122.4743286
70778,260,6,2/10/1993,W,1056890,807317,47.52309077,-122.8619162
70779,255,6,6/16/1983,W,1092915,858634,47.66657341,-122.7220288
70781,87,6,6/18/1987,W,1114307,913444,47.81837434,-122.6412903
70784,180,6,2/28/1991,W,1130356,874808,47.71368507,-122.5718711
70785,138,6,11/1/1982,W,1149636,897980,47.77854196,-122.495971
70794,95,6,7/20/1978,W,1117731,893591,47.76423145,-122.6251847
70796,79,6,5/23/1980,W,1138752,934172,47.8769449,-122.5440293
70797,215,6,1/15/1986,W,1141361,931388,47.86950171,-122.5331114
70799,66,6,6/21/1982,W,1086231,816564,47.55077724,-122.7442843
70800,231,6,11/6/1981,W,1093417,834830,47.60138644,-122.7172775
70803,61,6,11/5/1984,W,1096743,855899,47.6593738,-122.7061906
70808,99,6,4/4/1991,W,1109917,856912,47.66314726,-122.6528705
70810,11,36,9/24/1991,W,1140530,947291,47.91301571,-122.538169
70817,270,6,8/31/1979,W,1114984,891064,47.75710406,-122.6360701
70819,213,6,4/12/1983,W,1130589,816449,47.55378315,-122.5647213
70822,67,6,12/9/1989,W,1140739,910176,47.8113371,-122.533417
70827,40,6,8/10/1979,W,1141614,850709,47.64844979,-122.5236505
70828,198,6,3/25/1981,W,1131237,858943,47.67027552,-122.5666061
70841,665,6,3/7/1989,W,1140680,867871,47.69541208,-122.5292289
70842,170,6,6/15/1979,W,1111920,874032,47.71020755,-122.6466363
70844,120,6,3/30/1988,W,1112531,855506,47.65948967,-122.6421127
70847,100,6,6/25/1980,W,1057350,821917,47.56313385,-122.8618244
70848,122,6,10/12/1989,W,1108702,859601,47.67042447,-122.6580972
70849,320,6,3/22/1983,W,1137990,866634,47.69183226,-122.5400172
70851,296,6,10/13/1983,W,1092875,857304,47.66292603,-122.722039
70854,95,6,9/5/1973,W,1096800,858545,47.66662844,-122.7062597
70859,136,6,7/28/1982,W,1133055,919707,47.83690485,-122.565688
70860,217,6,6/22/1988,W,1145307,830744,47.59399785,-122.5066143
70861,320,6,6/26/1989,W,1126993,897323,47.77513518,-122.5879457
70862,158,6,10/15/1981,W,1094263,859903,47.67015451,-122.7167055
70863,134,6,4/13/1986,W,1120125,886946,47.74620024,-122.6147314
70866,170,6,9/1/1987,W,1121753,897475,47.77516957,-122.6092617
70867,31,6,3/3/1986,W,1129134,812552,47.54299939,-122.570197
70868,95,6,7/15/1985,W,1135237,860170,47.67392389,-122.5505081
70869,126,6,6/2/1979,W,1132968,917045,47.8296048,-122.5657583
70870,324,6,4/16/1985,W,1107267,895236,47.7679583,-122.6678928
70874,144,6,3/10/1989,W,1129938,858965,47.6702424,-122.5718783
70876,176,6,10/10/1985,W,1131130,943653,47.90237624,-122.5760874
70882,158,6,1/29/1979,W,1051798,842573,47.61927355,-122.8868314
70886,47,6,5/21/1990,W,1115762,869980,47.69939019,-122.6305941
70888,460,6,2/15/1991,W,1146622,923595,47.84851872,-122.5108787
70889,341,8,4/26/1978,W,1146622,923595,47.84851872,-122.5108787
70891,210,6,2/16/1989,W,1086372,857533,47.66304841,-122.7484418
70893,100,6,4/14/1988,W,1128983,873548,47.71013351,-122.577311
70894,78,6,4/30/1976,W,1130256,872182,47.70648224,-122.571997
70895,225,6,12/28/1992,W,1142799,890163,47.75664505,-122.5229493
70899,10,40,11/11/1992,W,1110876,908929,47.8057475,-122.6547458
70900,442,10,12/11/1990,W,1114359,916056,47.82553488,-122.6413673
70901,38,36,5/3/1993,W,1114359,916056,47.82553488,-122.6413673
70905,179,6,1/24/1984,W,1132821,870755,47.70275623,-122.5614327
70906,43,6,4/25/1995,W,1018329,809394,47.52551225,-123.0181635
70907,60,6,8/1/1980,W,1106130,828038,47.58374299,-122.6650157
70912,68,6,8/25/1988,W,1112842,863423,47.6812065,-122.6417234
70917,61,6,9/30/1980,W,1132749,866768,47.69182599,-122.5613019
70919,93,6,9/14/1991,W,1090785,818424,47.55622774,-122.7260644
70923,203,6,1/30/1986,W,1090625,829666,47.58702059,-122.7279978
70924,107,6,4/12/1991,W,1113918,856788,47.66310566,-122.636628
70928,92,6,2/29/1980,W,1129927,905181,47.79687861,-122.5768607
70934,49,6,10/4/1989,W,1111018,891192,47.75715931,-122.6521995
70935,350,6,1/23/1980,W,1150107,907763,47.80538098,-122.4950624
70938,158,6,10/4/1982,W,1131981,866969,47.69232172,-122.5644402
70942,102,6,10/4/1986,W,1105312,872920,47.70666464,-122.6733386
70948,370,6,11/6/1987,W,1133479,841699,47.62318328,-122.555687
70952,189,6,10/1/1991,W,1143631,916667,47.82932638,-122.5223304
70954,43,6,6/8/1989,W,1089623,869388,47.69578479,-122.7366194
70955,67,6,3/31/1992,W,1115305,858067,47.66671316,-122.6311422
70963,68,6,8/24/1984,W,1122993,893502,47.7643742,-122.6037905
70966,285,6,12/17/1986,W,1092915,858634,47.66657341,-122.7220288
70967,99,6,12/6/1974,W,1109412,876767,47.71751411,-122.6571219
70972,174,6,11/26/1990,W,1132121,891799,47.76036921,-122.5665128
70973,73,6,4/29/1988,W,1125487,888109,47.74977892,-122.5930732
70976,438,6,12/22/1982,W,1149148,899308,47.78214696,-122.4980916
70979,63,6,2/11/1974,W,1091414,850715,47.64475868,-122.7272101
70982,50,6,10/11/1984,W,1131162,856302,47.66303323,-122.5666296
70983,103,6,8/26/1983,W,1134181,872037,47.70636642,-122.5560477
70987,182,6,7/23/1979,W,1132798,869426,47.6991129,-122.561385
71000,120,6,3/13/1989,W,1136759,933551,47.87510159,-122.5520803
71004,153,6,3/20/1986,W,1041526,830267,47.58469643,-122.9269231
71005,338,6,7/8/1991,W,1055114,833295,47.59412611,-122.8722621
71006,343,6,4/27/1978,W,1119780,921214,47.84006866,-122.6198754
71009,131,8,12/23/1975,W,1129033,874858,47.71372671,-122.5772481
71010,80,6,10/3/1988,W,1134880,893009,47.76388229,-122.5554291
71017,80,6,4/24/1981,W,1054707,821869,47.56278493,-122.8725181
71018,110,6,2/19/1980,W,1107061,888715,47.75007532,-122.6680014
71022,82,6,9/17/1990,W,1137728,854836,47.65948451,-122.5398419
